chrom	start	stop	regid
1	10583	4380811	A_0
1	4380811	9365199	A_3
1	9365199	12779466	A_6
1	12779466	18662899	A_9
1	18662899	23086883	A_12
1	23086883	27401867	A_15
1	27401867	34799758	A_18
1	34799758	40200567	A_21
1	40200567	44969183	A_24
1	44969183	48978188	A_27
1	48978188	54226262	A_30
1	54226262	58865399	A_33
1	58865399	63455089	A_36
1	63455089	68477895	A_39
1	68477895	71684405	A_42
1	71684405	79661198	A_45
1	79661198	84844495	A_48
1	84844495	90066303	A_51
1	90066303	94506191	A_54
1	94506191	99800604	A_57
1	99800604	102898745	A_60
1	102898745	108409665	A_63
1	108409665	113273306	A_66
1	113273306	118839067	A_69
1	118839067	151538881	A_72
1	151538881	156336133	A_75
1	156336133	162346721	A_78
1	162346721	169086324	A_81
1	169086324	175089768	A_84
1	175089768	178954470	A_87
1	178954470	184595513	A_90
1	184595513	189904130	A_93
1	189904130	196176201	A_96
1	196176201	200137649	A_99
1	200137649	204681068	A_102
1	204681068	210787750	A_105
1	210787750	216243634	A_108
1	216243634	221858231	A_111
1	221858231	226810860	A_114
1	226810860	232090252	A_117
1	232090252	235819436	A_120
1	235819436	239925314	A_123
1	239925314	242071602	A_126
1	242071602	247344518	A_129
1	247344518	249239466	A_132
2	10133	5708337	B_0
2	5708337	10298469	B_3
2	10298469	16329735	B_6
2	16329735	21050490	B_9
2	21050490	26894985	B_12
2	26894985	30463711	B_15
2	30463711	35345028	B_18
2	35345028	39031337	B_21
2	39031337	44313803	B_24
2	44313803	48213001	B_27
2	48213001	52491133	B_30
2	52491133	56203345	B_33
2	56203345	60292000	B_36
2	60292000	65933444	B_39
2	65933444	69139564	B_42
2	69139564	75630086	B_45
2	75630086	80050403	B_48
2	80050403	88038507	B_51
2	88038507	98995201	B_54
2	98995201	103588215	B_57
2	103588215	107408267	B_60
2	107408267	113921856	B_63
2	113921856	121303783	B_66
2	121303783	125840921	B_69
2	125840921	129474441	B_72
2	129474441	133042784	B_75
2	133042784	138698117	B_78
2	138698117	142518602	B_81
2	142518602	147277162	B_84
2	147277162	152486782	B_87
2	152486782	157560635	B_90
2	157560635	161769733	B_93
2	161769733	165178840	B_96
2	165178840	169968236	B_99
2	169968236	175588929	B_102
2	175588929	181312739	B_105
2	181312739	185280173	B_108
2	185280173	195861164	B_111
2	195861164	199311125	B_114
2	199311125	205799241	B_117
2	205799241	209941529	B_120
2	209941529	215573795	B_123
2	215573795	220454551	B_126
2	220454551	225840004	B_129
2	225840004	231843389	B_132
2	231843389	236043550	B_135
2	236043550	239952643	B_138
2	239952643	243188920	B_141
3	60157	4431647	C_0
3	4431647	8648561	C_3
3	8648561	13070799	C_6
3	13070799	17891118	C_9
3	17891118	21643707	C_12
3	21643707	25461558	C_15
3	25461558	29142260	C_18
3	29142260	33255592	C_21
3	33255592	38356116	C_24
3	38356116	42540002	C_27
3	42540002	47727212	C_30
3	47727212	54081390	C_33
3	54081390	58157519	C_36
3	58157519	63669286	C_39
3	63669286	68286914	C_42
3	68286914	72529329	C_45
3	72529329	77508835	C_48
3	77508835	82643886	C_51
3	82643886	87409732	C_54
3	87409732	95311971	C_57
3	95311971	100592217	C_60
3	100592217	106982811	C_63
3	106982811	112815699	C_66
3	112815699	116800153	C_69
3	116800153	121974097	C_72
3	121974097	126214943	C_75
3	126214943	131836516	C_78
3	131836516	137371083	C_81
3	137371083	143164628	C_84
3	143164628	146726629	C_87
3	146726629	151348730	C_90
3	151348730	156008700	C_93
3	156008700	161524504	C_96
3	161524504	167117429	C_99
3	167117429	172295731	C_102
3	172295731	176320287	C_105
3	176320287	181511166	C_108
3	181511166	186890344	C_111
3	186890344	192343814	C_114
3	192343814	195971408	C_117
3	195971408	197946622	C_120
4	10240	2842979	D_0
4	2842979	5502388	D_3
4	5502388	8152235	D_6
4	8152235	12323034	D_9
4	12323034	15927009	D_12
4	15927009	20544557	D_15
4	20544557	25609322	D_18
4	25609322	29762208	D_21
4	29762208	33172766	D_24
4	33172766	37255047	D_27
4	37255047	42213058	D_30
4	42213058	47411896	D_33
4	47411896	55429556	D_36
4	55429556	60741087	D_39
4	60741087	66600492	D_42
4	66600492	71049152	D_45
4	71049152	77130707	D_48
4	77130707	82125315	D_51
4	82125315	86930609	D_54
4	86930609	90231564	D_57
4	90231564	96182188	D_60
4	96182188	100678360	D_63
4	100678360	107501305	D_66
4	107501305	113870102	D_69
4	113870102	118479918	D_72
4	118479918	122657987	D_75
4	122657987	126480886	D_78
4	126480886	128996665	D_81
4	128996665	132954033	D_84
4	132954033	138541971	D_87
4	138541971	143443265	D_90
4	143443265	150683580	D_93
4	150683580	155056126	D_96
4	155056126	161058864	D_99
4	161058864	164478234	D_102
4	164478234	167852917	D_105
4	167852917	172558635	D_108
4	172558635	178991910	D_111
4	178991910	183371275	D_114
4	183371275	188472981	D_117
4	188472981	191043594	D_120
5	11940	3361941	E_0
